x-axis,V2,I2,P2
second,Volt,Ampere,Watt
-2.70000E+00,+5.45402E+00,+726.09E-03,+3.95973E+00
-2.69900E+00,+5.45493E+00,+722.22E-03,+3.94022E+00
-2.69800E+00,+5.45391E+00,+718.92E-03,+3.92112E+00
-2.69700E+00,+5.45869E+00,+720.05E-03,+3.93050E+00
-2.69600E+00,+5.45059E+00,+721.55E-03,+3.93188E+00
-2.69500E+00,+5.45252E+00,+716.03E-03,+3.90506E+00
-2.69400E+00,+5.45548E+00,+720.36E-03,+3.93022E+00
-2.69300E+00,+5.45434E+00,+728.51E-03,+3.97385E+00
-2.69200E+00,+5.45430E+00,+716.12E-03,+3.90568E+00
-2.69100E+00,+5.45637E+00,+716.18E-03,+3.90740E+00
-2.69000E+00,+5.45327E+00,+721.03E-03,+3.93105E+00
-2.68900E+00,+5.45582E+00,+725.83E-03,+3.95952E+00
-2.68800E+00,+5.45637E+00,+708.10E-03,+3.86321E+00
-2.68700E+00,+5.45330E+00,+725.99E-03,+3.95918E+00
-2.68600E+00,+5.45341E+00,+724.19E-03,+3.94870E+00
-2.68500E+00,+5.45459E+00,+724.13E-03,+3.94924E+00
-2.68400E+00,+5.45516E+00,+727.38E-03,+3.96745E+00
-2.68300E+00,+5.45114E+00,+718.73E-03,+3.91884E+00
-2.68200E+00,+5.45420E+00,+715.19E-03,+3.90017E+00
-2.68100E+00,+5.45644E+00,+719.76E-03,+3.92802E+00
-2.68000E+00,+5.45102E+00,+727.01E-03,+3.96193E+00
-2.67900E+00,+5.45735E+00,+717.39E-03,+3.91407E+00
-2.67800E+00,+5.45334E+00,+718.58E-03,+3.91863E+00
-2.67700E+00,+5.45432E+00,+720.23E-03,+3.92899E+00
-2.67600E+00,+5.45487E+00,+726.56E-03,+3.96359E+00
-2.67500E+00,+5.45641E+00,+717.97E-03,+3.91741E+00
-2.67400E+00,+5.45673E+00,+725.36E-03,+3.95877E+00
-2.67300E+00,+5.45498E+00,+723.58E-03,+3.94780E+00
-2.67200E+00,+5.45680E+00,+727.18E-03,+3.96716E+00
-2.67100E+00,+5.45264E+00,+722.20E-03,+3.93717E+00
